text	label
"Black Female Democrats Call for Changes in Party""  URL #TCOT #MAGA #RedNationRising"""	NOT
After making fun of myself (and @USER a little) for watching the @USER premier 3 times my husband plays it again #truelove	NOT
You know what I hate? Negros.	OFF
:(( I want him to rest 4ever :((( He is such a sleepy baby :((( URL	NOT
I wish I can blink my eyes and I'll magically be ready \ud83d\udc40\ud83d\udc83	OFF
What id do for a blunt on my lip rn	NOT
Nothing I ever do is good enough so why bother	NOT
"@USER @USER Overton window shifted a while ago. AP is leftist, wsj maybe centrist  And lol that CNN isn't hyper-partisan"" but fox is? Ok  Have you denounced your extremists, AntiFA, Keith Ellison, Linda Sarsour, Ocasio yet?  I've denounced ones on the right..."""	NOT
The Delta Delta mansion is the place to be tonight.	NOT
@USER yeah July 23rd!	NOT
@USER okay ill talk to my mom too but I think.that just might work so sounds good	NOT
Run up on me and you die\ud83d\udd2b\ud83d\udc82	OFF
@USER give her my number and tell her I miss her!	NOT
@USER polls pls	NOT
@USER Noice. 1-10? How good?	NOT
I've told him ever since I was like 13 that I would go to prom with me so STEP OFF SLUTS	OFF
@USER u should have kept watching the RGIII Presser. He addresses the coaches relationship and comments and his inconsistency.	NOT
Pre shower Richelle and post shower Richelle are two very different looking people	NOT
Let's help #autism find a voice I ran 1.002 @USER to help @USER #EveryMileMatters	NOT
@USER A woman in Hatteras told me last night I don't know what I'm talking about when I told her to get off the island. I hope she is alive afterward.	NOT
Virginia cookin hamburger help but ion trust her cook	NOT
I just want to go home and sleep but this won't be done til like 3	NOT
I can rap every word to High School \ud83d\ude0d\ud83d\ude0d	NOT
Jeremiah is good fr he share and let people play with his toys he's mature for a two year old .	NOT
@USER @USER @USER @USER LMAO! You are still butt hurt that your loser Hitlary lost. Love it. See you at the polls in 2020 Bucky.	OFF
50 shades of grey is going to be a movie... isn't that pretty much porn??	OFF
@USER haha definitely not	NOT
@USER come sign me out	NOT
Alexis Garcia abrete de esta monda perro hpta	OFF
It's cold outside.. Fuckkkkkkk	OFF
"@USER i bet he is sayin wat his daddy says most... Don't start me baby""😂😂😂"""	NOT
Sean is such a great guy.. Seriously.	NOT
"@USER Entire audience""  Yeah, that's solid reporting.  LOL."""	NOT
The fact that I have to set alarms for my noon class lol #socollege	NOT
@USER they're on Facebook I'm tagging now	NOT
\I was so hot, even girls who liked girls liked me!\ #anonymous #familynights	OFF
Or I don't know what to say	NOT
\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02	NOT
@USER Just a month	NOT
first time. :)	NOT
Lakai Fully Flared gets me so hype	NOT
El negocio de las placas es que las compre el gob al proveedor no que se las cobre al pueblo, ya ganaron	NOT
@USER I was just listening to this song	NOT
@USER @USER My favourite part of this is watching all the conservatives lose their minds as usual. Once again the Democrats are being mean to us boo-hoo. LOL.	OFF
I'm going to have such a lovely bruise from where my dad punched me	OFF
So why did our power go out?\u00bf?\u00bf \ud83d\ude01	NOT
Ugghhhhh	NOT
@USER Such good life advice ;-)	NOT
Bitches know how to twerk but can't cook	OFF
My hobbies include opening up apps on my iPhone for the sole purpose of flicking them to end them	NOT
@USER preferably you buy it after, so I can have a good tastey lunch	NOT
"@USER Barf over the squishy self-righteous source. That's the whole deal with TBC. They're young and dumb history major conservatives"" who've swallowed the SJ BS and like to hand wave. I'll assume without further evidence Prager is lame."""	OFF
@USER Well this tweet seems vaguely familiar. Hmm	NOT
Already back from church! I'm going back to sleep \ud83d\ude34	NOT
Cheating isn't a mistake, it's a choice. You made the choice that you never cared.	NOT
@USER Why add insult to injury? He is 100% devoid of empathy.	NOT
Oh \ud83d\ude11	NOT
So bored someone talk to me\ud83d\ude1b	NOT
currently watching pocahontas on disney junior. blast from tha past!	NOT
I'm still amped for the Super Bowl because I've only watched sc 2 times since the championship weekends.	NOT
I'm pretty sure Chrissy and my mom are out together... Like hanging out one on one....	OFF
@USER @USER fuck you wanna be the next surfer with one hand	OFF
@USER @USER Liberals should just be banished from the United States &amp; dropped in the middle east.	OFF
Lol I called it.	NOT
@USER Amazing how the POPE is afraid of the truth	NOT
I love her tho \ud83d\ude18\ud83d\ude04\ud83d\ude04\ud83d\ude04\ud83d\ude04\ud83d\ude18\ud83d\ude18\ud83d\ude18\ud83d\ude18\ud83d\ude18\ud83d\ude18	NOT
G.I Joe was such a good movie!! Loved it. Besides the fact that Channing Tatum dies within the first 20 minutes \ud83d\udc4e\ud83d\udc4e\ud83d\ude1e\ud83d\ude1e	NOT
My grandmother just liked my picture of beer on Facebook. #ohno	NOT
Good thing I'm not allergic to Carolyn's cats....	NOT
Hamilton fireworks with bub, @USER and @USER	NOT
Piper Chapman and Alex Vause \ud83d\ude0d\ud83d\ude0d\ud83d\ude0d my favorite lesbians	OFF
Antifa Caught Off Guard After Getting Confronted By The Last Person They Ever Wanted To Answer Too URL	NOT
That was when I was my skinniest.. I still love my body though so nbd	NOT
damn straight #RapedByASlothAndItWasAmazing	OFF
Unconditional, despite everything, under any circumstance, no matter what.	NOT
Apple&gt;&gt;&gt;&gt;&gt;&gt;Samsung	NOT
@USER hahaha you're welcome!!\ud83d\udc4d	NOT
@USER Makes sense now!	NOT
@USER @USER Casey not eating it #now what. I took the m&amp;m to work I can't take all the ice cream too.	NOT
@USER stop tweeting from the bathroom.	OFF
@USER he just blocked Paul George!	NOT
@USER He was almost....ALMOST as bad as Obama!	OFF
@USER 20 more days baybay! Ppt.	NOT
@USER Liberals support conflicting viewpoints just to score political points. Power is an ugly business.	OFF
So fucking sleepy	OFF
@USER Something went down she is hiding.	NOT
@USER lmao don't lie	NOT
I may be the black sheep of the family,but some of the white sheep aren't as white as they try to appear.	OFF
My dad is 75% Italian .. \ud83d\ude33	NOT
@USER You must be on your 2nd bottle of vodka if you are gonna say the reps are radicalized! See antifa or blm or feminazis or abolish ICE or msm or anyone else doing your dirty work!	OFF
There won't be another one like you, but there will be someone who will give me what I deserve.	NOT
#hausla hdllo	NOT
This kitchen is a war zone	NOT
@USER si el lado bueno es el pago al final de la semana	NOT
Sloooooooot	NOT
@USER well then that's definitely better than yesterday! Haha	NOT
I hope you fall inside a hole and die :) &lt;3	OFF
@USER lol pullup	NOT
Yoloswag is at critical levels... Halp	NOT
#BeforeIDieIWantTo find out who my true friends are and always will be.	NOT
@USER This kind of meme just drives me further away from the Conservatives. My mother and father are rolling in their proverbial...you know. They would be disappointed in the lowness of it all.	NOT
@USER  A beast? She is certainly not attracted nor amused to do it with one. 0/10	NOT
Christmas Vacation is hands down the best Christmas movie	NOT
She was just with another dude 2 days ago bro now she's fucking you how's it make you feel that your girls a #sluuutttt	OFF
TGIF!!!!!!!!!!!\ud83d\ude03 pay day too!!!!! Woot woot!!!!!!!!\ud83d\ude0a\ud83c\udf83\ud83d\udc7b	NOT
@USER Can we all agree to pray for big dumb mike to keel over of a heart attack. he looks ripe.	OFF
@USER yeah for sure homie	NOT
@USER you find out who your friends are.	NOT
...when Liberals/Democrats punish &amp; slander people for simply being honest and truthful? That's when you know its time to #WalkAway and vote Republican. URL	NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER pretty much spot on there	NOT
@USER btw... It's been too long since I've seen you and I'm working in your hood now!	NOT
@USER He’s going to end up having a massive heart attack and never find out how the election went.	NOT
@USER @USER YOOOOO I didn't know you had a son. That's awesome. Look how focused he is. 😃	NOT
@USER yooooo, I said that to myself earlier today! \ud83d\ude02\ud83d\ude2d	NOT
Everything has a story and a price #pawnstars	NOT
I got some sun this weekend \ud83d\ude0e\u2600	NOT
does anyone actually know how to tie a bow-tie though? let's be honest here.	NOT
WHO WANTS TO GO SLEDDING\n \ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\ude0d	NOT
@USER Eric Holder should be in PRISON !!	OFF
@USER HAHHAAHH #truth but I like the sand	NOT
Or smile. But that really isn't new.	NOT
@USER haha yes thank you!	NOT
@USER listen to some of his other stuff	NOT
@USER @USER there's fish poop in your shower???	OFF
@USER says you lolol.	NOT
What to do with the Seguin jersey lol @USER	NOT
